Time,qd1,q1,qdot1,u1,qd2,q2,qdot2,u2,r1,rdot1,r2,rdot2,lbd1,lbd2,lbd3,lbd4,Vn1,Vn2,Vn3
139.83,0.0,-1.5708,0.0,0.0007,0.0,-0.0,-0.0,0.0014,-1.5703,0.0116,0.0009,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0016
139.83,0.0,-1.5708,0.0,0.0007,0.0,-0.0,-0.0,0.0014,-1.5703,0.0116,0.0009,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.0016
139.93,0.0,-1.5708,0.0,0.0144,0.0,-0.0,-0.0,0.0288,-1.5627,0.0713,0.0161,0.1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0322
139.93,0.0,-1.5708,0.0,0.0144,0.0,-0.0,-0.0,0.0288,-1.5627,0.0713,0.0161,0.1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0322
140.031,0.0,-1.5708,-0.0,0.06,0.0,-0.0,0.0,0.1201,-1.5398,0.1613,0.062,0.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.1343
140.031,0.0,-1.5708,-0.0,0.06,0.0,-0.0,0.0,0.1201,-1.5398,0.1613,0.062,0.3225,0.0,0.0,0.0,0.0,0.0,0.0,0.1343
140.131,0.0,-1.5708,-0.0,0.1542,0.0,-0.0,0.0,0.3085,-1.4976,0.2613,0.1465,0.5226,0.0,0.0,0.0,0.0,0.0,0.0,0.3449
140.131,0.0,-1.5708,-0.0,0.1542,0.0,-0.0,0.0,0.3085,-1.4976,0.2613,0.1465,0.5226,0.0,0.0,0.0,0.0,0.0,0.0,0.3449
140.231,0.0,-1.5709,-0.002,0.3095,0.0,0.0139,0.5694,0.5676,-1.4357,0.3551,0.2702,0.7101,0.0,0.0,0.0,0.0,0.0,0.0,0.6465
140.231,0.0,-1.5709,-0.002,0.3095,0.0,0.0139,0.5694,0.5676,-1.4357,0.3551,0.2702,0.7101,0.0,0.0,0.0,0.0,0.0,0.0,0.6465
140.331,0.0,-1.571,-0.0017,0.533,0.0,0.1006,1.5284,0.6672,-1.3568,0.4299,0.428,0.8598,0.0,0.0,0.0,0.0,0.0,0.0,0.854
140.431,0.0,-1.5708,0.0256,0.8252,0.0,0.2437,1.8704,0.6204,-1.2656,0.4768,0.6104,0.9537,0.0,0.0,0.0,0.0,0.0,0.0,1.0324
140.431,0.0,-1.5708,0.0256,0.8252,0.0,0.2437,1.8704,0.6204,-1.2656,0.4768,0.6104,0.9537,0.0,0.0,0.0,0.0,0.0,0.0,1.0324
140.531,0.0,-1.5609,0.2348,1.1463,0.0,0.3764,1.3808,0.6533,-1.1683,0.4907,0.805,0.9814,0.0,0.0,0.0,0.0,0.0,0.0,1.3193
140.531,0.0,-1.5609,0.2348,1.1463,0.0,0.3764,1.3808,0.6533,-1.1683,0.4907,0.805,0.9814,0.0,0.0,0.0,0.0,0.0,0.0,1.3193
140.631,0.0,-1.5339,0.416,1.4494,0.0,0.4734,1.1468,0.8674,-1.0716,0.47,0.9983,0.94,0.0,0.0,0.0,0.0,0.0,0.0,1.6892
140.631,0.0,-1.5339,0.416,1.4494,0.0,0.4734,1.1468,0.8674,-1.0716,0.47,0.9983,0.94,0.0,0.0,0.0,0.0,0.0,0.0,1.6892
140.731,0.0,-1.497,0.4848,1.7411,0.0,0.5787,1.5219,1.0871,-0.9825,0.4169,1.1767,0.8338,0.0,0.0,0.0,0.0,0.0,0.0,2.0526
140.731,0.0,-1.497,0.4848,1.7411,0.0,0.5787,1.5219,1.0871,-0.9825,0.4169,1.1767,0.8338,0.0,0.0,0.0,0.0,0.0,0.0,2.0526
140.831,0.0,-1.4558,0.5486,2.0221,0.0,0.7179,1.8775,1.1643,-0.9066,0.3375,1.3283,0.675,0.0,0.0,0.0,0.0,0.0,0.0,2.3334
140.831,0.0,-1.4558,0.5486,2.0221,0.0,0.7179,1.8775,1.1643,-0.9066,0.3375,1.3283,0.675,0.0,0.0,0.0,0.0,0.0,0.0,2.3334
140.931,0.0,-1.4072,0.6629,2.2629,0.0,0.8673,1.7616,1.1396,-0.8486,0.2413,1.4444,0.4826,0.0,0.0,0.0,0.0,0.0,0.0001,2.5337
141.031,0.0,-1.3493,0.7483,2.4378,0.0,0.9945,1.3606,1.1147,-0.8103,0.1419,1.5209,0.2837,0.0,0.0,0.0,0.0,0.0,0.0001,2.6806
141.031,0.0,-1.3493,0.7483,2.4378,0.0,0.9945,1.3606,1.1147,-0.8103,0.1419,1.5209,0.2837,0.0,0.0,0.0,0.0,0.0,0.0001,2.6806
141.131,0.0,-1.2884,0.7152,2.5558,0.0,1.0912,1.0287,1.1172,-0.7909,0.0562,1.5597,0.1125,0.0,0.0,0.0,0.0,0.0,0.0001,2.7893
141.131,0.0,-1.2884,0.7152,2.5558,0.0,1.0912,1.0287,1.1172,-0.7909,0.0562,1.5597,0.1125,0.0,0.0,0.0,0.0,0.0,0.0001,2.7893
141.231,0.0,-1.2355,0.5608,2.6539,0.0,1.1679,0.8642,1.1139,-0.7855,0.0053,1.5705,0.0106,0.0,0.0,0.0,0.0,0.0,0.0001,2.8782
141.231,0.0,-1.2355,0.5608,2.6539,0.0,1.1679,0.8642,1.1139,-0.7855,0.0053,1.5705,0.0106,0.0,0.0,0.0,0.0,0.0,0.0001,2.8782
141.331,0.0,-1.1985,0.3534,2.7772,0.0,1.2332,0.7476,1.0897,-0.7835,0.0463,1.5684,-0.0579,0.0,0.0,0.0,0.0,0.0,0.0001,2.9833
141.331,0.0,-1.1985,0.3534,2.7772,0.0,1.2332,0.7476,1.0897,-0.7835,0.0463,1.5684,-0.0579,0.0,0.0,0.0,0.0,0.0,0.0001,2.9833
141.431,0.0,-1.1774,0.1818,2.994,0.0,1.2853,0.4924,1.0142,-0.7531,0.2853,1.5304,-0.3566,0.0,0.0,0.0,0.0,0.0,0.0001,3.1611
141.53,0.0,-1.1649,0.1357,3.3623,0.0,1.3034,0.0013,0.8804,-0.6614,0.645,1.4158,-0.8063,0.0,0.0,0.0,0.0,0.0,0.0002,3.4756
